Bandit,Reward,Algorithm
3,4.326651305364531,Thompson Sampling
3,4.663862520003501,Thompson Sampling
3,4.27387227869202,Thompson Sampling
3,2.3804558344826687,Thompson Sampling
3,2.6573151449118533,Thompson Sampling
3,4.905391651534114,Thompson Sampling
3,4.506200979995267,Thompson Sampling
3,3.3939639470523,Thompson Sampling
3,3.5928888480823318,Thompson Sampling
3,5.673605173860417,Thompson Sampling
3,4.596627464487814,Thompson Sampling
3,2.5917761174001717,Thompson Sampling
3,5.229717576421374,Thompson Sampling
3,4.672958325224247,Thompson Sampling
3,4.699239320334699,Thompson Sampling
3,4.34464719805344,Thompson Sampling
3,5.021956824492843,Thompson Sampling
3,4.877663017006743,Thompson Sampling
3,2.5262805235505192,Thompson Sampling
3,3.372392872198713,Thompson Sampling
3,4.762461261585447,Thompson Sampling
3,2.744100794064024,Thompson Sampling
3,3.7307449966873447,Thompson Sampling
3,5.588195158294999,Thompson Sampling
3,4.8007899491992,Thompson Sampling
3,4.054020546141543,Thompson Sampling
3,4.497340813110107,Thompson Sampling
3,3.308561289146896,Thompson Sampling
3,5.315632655172572,Thompson Sampling
3,5.6286667286075875,Thompson Sampling
3,1.922766199447639,Thompson Sampling
3,4.139428896162309,Thompson Sampling
3,5.1488207444363265,Thompson Sampling
3,5.231279121102121,Thompson Sampling
3,3.5759885959772646,Thompson Sampling
3,4.923541199062654,Thompson Sampling
3,2.534457207808435,Thompson Sampling
3,4.593619040196305,Thompson Sampling
3,4.500093372263601,Thompson Sampling
3,4.518189311120802,Thompson Sampling
3,3.5366806946994216,Thompson Sampling
3,3.6080106311799938,Thompson Sampling
3,4.841983656060081,Thompson Sampling
3,3.859588223054502,Thompson Sampling
3,4.604470515522362,Thompson Sampling
3,3.306513733034247,Thompson Sampling
3,3.6128654706893313,Thompson Sampling
3,4.200702640346617,Thompson Sampling
3,6.5566170467120415,Thompson Sampling
3,3.5745516699588133,Thompson Sampling
3,3.1208011864324265,Thompson Sampling
3,4.592772098319681,Thompson Sampling
3,4.214147127027107,Thompson Sampling
3,3.605571885750509,Thompson Sampling
3,2.283122213533967,Thompson Sampling
3,5.230816776321808,Thompson Sampling
3,3.737530650873112,Thompson Sampling
3,4.341141472808899,Thompson Sampling
3,4.707955421178387,Thompson Sampling
3,5.1410141866290715,Thompson Sampling
3,4.497105636873633,Thompson Sampling
3,3.7004937964728764,Thompson Sampling
3,4.144272902765329,Thompson Sampling
3,2.51711555185066,Thompson Sampling
3,5.290671375344504,Thompson Sampling
3,5.763774906253116,Thompson Sampling
3,3.8425208391677828,Thompson Sampling
3,3.7591313301232563,Thompson Sampling
3,4.823656395205988,Thompson Sampling
3,3.5787746289275155,Thompson Sampling
3,3.9122928096403022,Thompson Sampling
3,4.793347965983834,Thompson Sampling
3,4.044523208774789,Thompson Sampling
3,5.75467970124757,Thompson Sampling
3,4.978777180089446,Thompson Sampling
3,4.164968175163672,Thompson Sampling
3,2.774797062048054,Thompson Sampling
3,4.31779692329181,Thompson Sampling
3,3.8847726763000376,Thompson Sampling
3,4.510393335154513,Thompson Sampling
3,3.7253622214574373,Thompson Sampling
3,2.5683378227322757,Thompson Sampling
3,3.9440344189162015,Thompson Sampling
3,3.957185973395269,Thompson Sampling
3,3.8945888720483026,Thompson Sampling
3,5.1393291613467635,Thompson Sampling
3,5.285330034185234,Thompson Sampling
3,2.6459473603414243,Thompson Sampling
3,4.109461779244202,Thompson Sampling
3,4.921610412131413,Thompson Sampling
3,4.695004677218573,Thompson Sampling
3,4.079441196053568,Thompson Sampling
3,4.754894411510811,Thompson Sampling
3,4.2673641150529456,Thompson Sampling
3,4.465794642193964,Thompson Sampling
3,3.290694030413035,Thompson Sampling
3,4.68927058167726,Thompson Sampling
3,3.0035930853603556,Thompson Sampling
3,3.6622906858061843,Thompson Sampling
3,2.476383547068558,Thompson Sampling
3,3.707755096093526,Thompson Sampling
3,4.798466650641608,Thompson Sampling
3,3.8216488628765366,Thompson Sampling
3,3.8637269252964,Thompson Sampling
3,3.5764113780876094,Thompson Sampling
3,3.4925652425910307,Thompson Sampling
3,4.6094571443614925,Thompson Sampling
3,4.140719809659698,Thompson Sampling
3,4.387669843049021,Thompson Sampling
3,3.615411601050817,Thompson Sampling
3,3.6363196049342257,Thompson Sampling
3,3.9797353633336736,Thompson Sampling
3,4.3779354827878585,Thompson Sampling
3,5.008916960446513,Thompson Sampling
3,5.23125538236817,Thompson Sampling
3,3.003105301553498,Thompson Sampling
3,1.7160173063907465,Thompson Sampling
3,5.390525005439949,Thompson Sampling
3,4.695108689004669,Thompson Sampling
3,4.338509010744187,Thompson Sampling
3,5.056606476528841,Thompson Sampling
3,3.886244334076183,Thompson Sampling
3,5.7434213234787315,Thompson Sampling
3,4.530627417478303,Thompson Sampling
3,3.091739347690396,Thompson Sampling
3,5.142872361992818,Thompson Sampling
3,3.407913762029251,Thompson Sampling
3,4.345992249713464,Thompson Sampling
3,2.723361414561527,Thompson Sampling
3,4.021368633039731,Thompson Sampling
3,2.2571065671152155,Thompson Sampling
3,4.399106291035517,Thompson Sampling
3,3.6145783405227077,Thompson Sampling
3,3.7102261593981676,Thompson Sampling
3,2.8970583802916074,Thompson Sampling
3,4.692903101972965,Thompson Sampling
3,3.7360799643735088,Thompson Sampling
3,3.199665175670249,Thompson Sampling
3,2.984801094385329,Thompson Sampling
3,4.123826430262891,Thompson Sampling
3,4.738246182809301,Thompson Sampling
3,2.804905669422906,Thompson Sampling
3,4.023677500568795,Thompson Sampling
3,3.8645502555284383,Thompson Sampling
